개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
3200000,3200000-202-2021-00001,2021-05-26,,1,영업/정상,1,영업,,,,,260125234,390.19,151-830,서울특별시 관악구 봉천동 702-49,"서울특별시 관악구 보라매로 13, B101호 (봉천동)",8708,샤워 인 더 하우스,2023-03-08 13:55,U,00:00.0,공동탕업,193481.099,443157.3635,,,,,,,,,,,,,,,,,,,,,,
3160000,3160000-202-2002-00002,20021009,,3,폐업,2,폐업,20220405,,,,02 8545522,"1,620.00",152872,서울특별시 구로구 구로동 731-1,서울특별시 구로구 구로동로26길 8 (구로동),8311,구로대중탕,2022-04-05 15:56,U,07:00.0,한증막업,189736.7188,443130.1402,,,,,,,,,,,,,,,,,,,,,,
3180000,3180000-202-2002-00010,2002-12-26,,1,영업/정상,1,영업,,,,,02 8315117,640,150-857,서울특별시 영등포구 신길동 4936 푸른숲마을상가 지하,"서울특별시 영등포구 가마산로79길 46 (신길동,푸른숲마을상가 지하)",7350,푸른숲헬스사우나,2023-03-10 9:51,U,02:00.0,공동탕업,192702.3063,445115.5146,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2000-00032,2000-07-29,,1,영업/정상,1,영업,,,,,226912240,381.9,157-884,서울특별시 강서구 화곡동 370-39,서울특별시 강서구 월정로30길 55 (화곡동),7765,태영탕,2023-03-15 13:58,U,07:00.0,공동탕업,185699.2072,448088.4636,,,,,,,,,,,,,,,,,,,,,,
3140000,3140000-202-1987-00071,1987-12-24,,3,폐업,2,폐업,2023-03-17,,,,226493214,390.35,158-808,서울특별시 양천구 목동 513-3 지하1층,"서울특별시 양천구 공항대로 612, 지하1층 (목동)",7968,월드파크,2023-03-17 15:12,U,09:00.0,공동탕업,188669.4859,449398.4386,,,,,,,,,,,,,,,,,,,,,,
3070000,3070000-202-2023-00001,2023-03-15,,1,영업/정상,1,영업,,,,,,107.07,136-072,서울특별시 성북구 안암동2가 97-16,"서울특별시 성북구 고려대로13길 10-3, 지1층 (안암동2가)",2843,단오풍정,2023-03-20 14:32,U,02:00.0,목욕장업 기타,202015.7698,453874.2589,,,,,,,,,,,,,,,,,,,,,,
3160000,3160000-202-2012-00001,2012-01-18,,1,영업/정상,1,영업,,,,,236663668,951.66,152-090,서울특별시 구로구 개봉동 478 개봉한진아파트 상가1동 지하1층,"서울특별시 구로구 개봉로3길 87 (개봉동,개봉한진아파트 상가1동 지하1층)",8354,한진힐링사우나,2023-03-22 11:36,U,04:00.0,목욕장업 기타,186835.1723,442508.9797,,,,,,,,,,,,,,,,,,,,,,
3130000,3130000-202-1999-00161,1999-02-27,,1,영업/정상,1,영업,,,,,02  701 3370,532.76,121-876,서울특별시 마포구 용강동 122-16 지하1층 일부,"서울특별시 마포구 토정로32길 4, 지하1층 (용강동)",4163,토정24시사우나찜질방,2023-03-23 14:38,U,05:00.0,공동탕업,194742.3839,448757.8834,,,,,,,,,,,,,,,,,,,,,,
3220000,3220000-202-1997-00240,1997-02-25,,3,폐업,2,폐업,2023-03-28,,,,234636100,198.55,135-270,"서울특별시 강남구 도곡동 902-124 ,125","서울특별시 강남구 남부순환로365길 39 (도곡동,,125)",6269,장수사우나,2023-03-28 12:06,U,00:00.0,공동탕업,203448.1538,442872.0458,,,,,,,,,,,,,,,,,,,,,,
3030000,3030000-202-2022-00001,2022-07-07,,1,영업/정상,1,영업,,,,,,132.06,133-856,서울특별시 성동구 하왕십리동 866-2 삼협빌딩,"서울특별시 성동구 왕십리로 386, 삼협빌딩 지1층 (하왕십리동)",4701,해빗,2023-03-30 14:50,U,01:00.0,목욕장업 기타,202371.998,451423.4097,,,,,,,,,,,,,,,,,,,,,,
3210000,3210000-202-2021-00002,2021-01-12,,1,영업/정상,1,영업,,,,,02  69537134,262.3,137-170,서울특별시 서초구 염곡동 180-2 내곡동종합시설,"서울특별시 서초구 염곡말길 9, 1층 (염곡동)",6793,서초구립느티나무쉼터 내곡느티사우나,2023-04-03 18:15,U,05:00.0,공동탕업,204418.8367,439958.4436,,,,,,,,,,,,,,,,,,,,,,
3040000,3040000-202-2005-00003,2005-11-23,,1,영업/정상,1,영업,,,,,234360005,1455.03,143-873,서울특별시 광진구 자양동 663-21 와이엠프라젠스파 지하2층,"서울특별시 광진구 자양로5길 33 (자양동,와이엠프라젠스파 지하2층)",5102,우리유황온천,2023-04-11 13:29,U,03:00.0,공동탕업,207368.6245,447632.296,,,,,,,,,,,,,,,,,,,,,,
3230000,3230000-202-2003-00001,2003-02-27,,3,폐업,2,폐업,2023-04-18,,,,02 4308221,400,138-820,서울특별시 송파구 마천동 181 지상3층,"서울특별시 송파구 마천로 315, 지상3층 (마천동)",5758,현대보석사우나,2023-04-18 9:33,U,00:00.0,공동탕업,213279.7811,443674.6829,,,,,,,,,,,,,,,,,,,,,,
